type,en,es,pt
perennial,Herbaceous perennials - Strawberry,Herbáceas perennes - Fresa,Herbáceas perenes - Morango
perennial,Herbaceous perennials - Other,Herbáceas perennes - Otros,Herbáceas perenes - Outras
perennial,Bushes/Shrubs - Blackberry,Arbustos - Zarzamora,Arbustos / Arbustos - Amora
perennial,Bushes/Shrubs - Blueberry,Arbustos - Arándano,Arbustos / Arbustos - Mirtilo
perennial,Bushes/Shrubs - Broom,Arbustos - Retama,Arbustos / Arbustos - Tojo
perennial,Bushes/Shrubs - Chamise/Greasewood,Arbustos - Chamizo / Adelfa,Arbustos / Arbustos - Chamise / Vedal
perennial,Bushes/Shrubs - Heather/Erica,Arbustos - Brezo,Arbustos / Arbustos - Urze / Erica
perennial,Bushes/Shrubs - Laustrine,Arbustos - Lauro,Arbustos / Arbustos - Laustrine
perennial,Bushes/Shrubs - Lavender,Arbustos - Lavanda,Arbustos / Arbustos - Lavanda
perennial,Bushes/Shrubs - Rockrose,Arbustos - Jara,Arbustos / Arbustos - Esteva
perennial,Bushes/Shrubs - Rosemary,Arbustos - Romero,Arbustos / Arbustos - Alecrim
perennial,Bushes/Shrubs - Sagebrush,Arbustos - Artemisa,Arbustos / Arbustos - Sálvia
perennial,Bushes/Shrubs - Other,Arbustos - Otros,Arbustos / Arbustos - Outros
perennial,Fruit tree - Apple,Frutal - Manzano,Macieira
perennial,Fruit tree - Apricot,Frutal - Albaricoque,Damasqueiro
perennial,Fruit tree - Avocado,Frutal - Aguacate,Abacateiro
perennial,Fruit tree - Clementine,Frutal - Clementina,Clementina
perennial,Fruit tree - Date palm,Frutal - Palmera datilera,Tamareira
perennial,Fruit tree - Fig,Frutal - Higo,Figueira
perennial,Fruit tree - Lemon,Frutal - Limón,Limoeiro
perennial,Fruit tree - Mandarin,Frutal - Mandarina,Tangerineira
perennial,Fruit tree - Mango,Frutal - Mango,Mangueira
perennial,Fruit tree - Olive,Frutal - Oliva,Oliveira
perennial,Fruit tree - Orange,Frutal - Naranja,Laranjeira
perennial,Fruit tree - Peach,Frutal - Melocotón,Pessegueiro
perennial,Fruit tree - Pear,Frutal - Pera,Pera
perennial,Fruit tree - Pomegranate,Frutal - Granada,Romãzeira
perennial,Fruit tree - Pomelo,Frutal - Pomelo,Pomeleiro
perennial,Fruit tree - Other,Frutal - Otros,Árvore de fruta - Outra
perennial,Nut tree - Almond,Árbol de frutos secos - Almendra,Amendoeira
perennial,Nut tree - Chestnut,Árbol de frutos secos - Castaño / Marrón,Castanheiro
perennial,Nut tree - Hazelnut,Árbol de frutos secos - Avellano,Avelã
perennial,Nut tree - Pistachio,Árbol de frutos secos - Pistacho,Pistácio
perennial,Nut tree - Walnut,Árbol de frutos secos - Nuez,Nogueira
perennial,Nut tree - Other,Árbol de frutos secos - Otros,Frutos secos - Outros
perennial,Tree - Ash,Árbol - Fresno,Árvore - Freixo
perennial,Tree - Eucalyptus,Árbol - Eucalipto,Árvore - Eucalipto
perennial,Tree - Carob,Árbol - Algarrobo,Árvore - Alfarrobeira
perennial,Tree - Cork oak,Árbol - Alcornoque,Árvore - Sobreiro
perennial,Tree - Cypress,Árbol - Ciprés,Árvore - Cipreste
perennial,Tree - Holm oak,Árbol - Encina,Árvore - Azinheira
perennial,Tree - Maple/Sycamore,Árbol - Arce / Plátano,Árvore - Bordo / Plátano
perennial,Tree - Pine,Árbol - Pino,Árvore - Pinheiro
perennial,Tree - Other,Árbol - Otros,Árvore - Outras
perennial,Vine - Grape vines,Vid - Viñas,Videira - Videiras
perennial,Vine - Other,Vid - Otros,Videira - Outras
perennial,Other perennial crop,Otro cultivo perenne,Outra cultura perene
annual,Aromatics,Aromáticas,Aromáticas
annual,Cover crop - Single or multiple grasses,Cultivo de cobertura - Hierbas simples o múltiples,Culturas de cobertura - gramíneas simples ou múltiplas
annual,Cover crop - Single or multiple legumes,Cultivo de cobertura - Leguminosas simples o múltiples,Cultura de cobertura - leguminosas simples ou múltiplas
